TRAVERSED, ELAPSED_TIME, GOAL, R_I, R_F
0, 10, "0.501093,-0.059855", "0.403957,-0.130315", "0.494473,-0.084996"
0, 10, "0.482669,-0.102984", "0.416393,-0.203021", "0.531456,-0.150215"
0, 10, "0.465810,-0.549882", "0.352557,-0.510211", "0.580149,-0.492382"
1, 2, "0.704997,-0.471013", "0.818520,-0.432120", "0.723031,-0.460886"
1, 4, "0.731918,-0.292946", "0.753166,-0.411050", "0.734908,-0.308480"
1, 4, "0.001589,-0.095269", "0.096317,-0.168935", "-0.020874,-0.083012"
0, 10, "0.693452,-0.704891", "0.705671,-0.824268", "0.712723,-0.838775"
0, 10, "0.291180,-0.169966", "0.182111,-0.119927", "0.226406,-0.133565"
0, 10, "0.632539,-0.645661", "0.751612,-0.630774", "0.749208,-0.600484"
0, 10, "0.809369,-0.714092", "0.839126,-0.597840", "0.804419,-0.598336"
0, 10, "0.688010,-0.631865", "0.802688,-0.596526", "0.782467,-0.573467"
0, 10, "0.079011,-0.789077", "0.190543,-0.744798", "0.112442,-0.729883"
0, 10, "0.885035,-0.913577", "0.766346,-0.931271", "0.768492,-0.965968"
0, 10, "0.887057,-0.324700", "0.772130,-0.359221", "0.786937,-0.341946"
0, 10, "0.985920,-0.097952", "0.877082,-0.047411", "0.998139,-0.099493"
0, 10, "0.113388,-0.205116", "0.080736,-0.089644", "0.081977,-0.088211"
0, 10, "0.120170,-0.996366", "0.150781,-0.880335", "0.122875,-0.903351"
0, 10, "0.007392,-0.976897", "0.104321,-0.906153", "0.108391,-0.893206"
0, 10, "0.013805,-0.671515", "0.132728,-0.655475", "0.099646,-0.702493"
0, 10, "0.004271,-0.529564", "0.117090,-0.570453", "0.105407,-0.557499"
0, 10, "0.030895,-0.142323", "0.147094,-0.112358", "0.148425,-0.113369"
0, 10, "0.456870,-0.237092", "0.569320,-0.195198", "0.562166,-0.188399"
0, 10, "0.453230,-0.154052", "0.571874,-0.136058", "0.528302,-0.143364"
0, 10, "0.489286,-0.687359", "0.578885,-0.767184", "0.584490,-0.763281"
0, 10, "0.039960,-0.412901", "0.159696,-0.420862", "0.166007,-0.432592"
0, 10, "0.239044,-0.484649", "0.265683,-0.601655", "0.257984,-0.568229"
0, 10, "0.664334,-0.542064", "0.780231,-0.510952", "0.696451,-0.505880"
0, 10, "0.021423,-0.483710", "0.121355,-0.550145", "0.106324,-0.555526"
0, 10, "0.634547,-0.836696", "0.628241,-0.716862", "0.611684,-0.872720"
0, 10, "0.432158,-0.423217", "0.431670,-0.303218", "0.418633,-0.295265"
0, 10, "0.859214,-0.390958", "0.840608,-0.509507", "0.779964,-0.519180"
0, 10, "0.050790,-0.618259", "0.135899,-0.702856", "0.113765,-0.704411"
0, 10, "0.488991,-0.460725", "0.583467,-0.386736", "0.610198,-0.384615"
0, 10, "0.167325,-0.318539", "0.077085,-0.397639", "0.096284,-0.381903"
0, 10, "0.493976,-0.284161", "0.408360,-0.200077", "0.371505,-0.137748"
0, 10, "0.511354,-0.730687", "0.629662,-0.710607", "0.528023,-0.708360"
0, 10, "0.308937,-0.668044", "0.233221,-0.574946", "0.234038,-0.574723"
0, 10, "0.460944,-0.102834", "0.565415,-0.161876", "0.520562,-0.120423"
0, 10, "0.028029,-0.419256", "0.144707,-0.447297", "0.177403,-0.468056"
0, 10, "0.801880,-0.751083", "0.691042,-0.797072", "0.806637,-0.757694"
0, 10, "0.374497,-0.843488", "0.271176,-0.904520", "0.270264,-0.954734"
0, 10, "0.245428,-0.806432", "0.363736,-0.826514", "0.402220,-0.885098"
0, 10, "0.785959,-0.331271", "0.680993,-0.389428", "0.691056,-0.397939"
0, 10, "0.263444,-0.291849", "0.144797,-0.309822", "0.309818,-0.286358"
0, 10, "0.229662,-0.215876", "0.308071,-0.306717", "0.349877,-0.270046"
0, 10, "0.020372,-0.427087", "0.116440,-0.498997", "-0.063416,-0.362969"
0, 10, "0.948865,-0.980190", "0.864646,-0.894708", "0.921203,-0.946656"
0, 10, "0.696498,-0.243404", "0.748901,-0.351358", "0.727546,-0.299160"
0, 10, "0.245544,-0.549192", "0.342604,-0.478627", "0.305037,-0.518638"
0, 10, "0.113505,-0.556334", "0.162540,-0.446809", "0.157624,-0.513684"
0, 10, "0.357926,-0.270096", "0.459646,-0.206432", "0.457248,-0.190239"
0, 10, "0.275862,-0.222263", "0.359856,-0.307966", "0.356362,-0.261064"
0, 10, "0.740764,-0.270740", "0.681545,-0.166370", "0.786593,-0.341963"
0, 10, "0.283511,-0.245413", "0.269080,-0.364543", "0.334579,-0.286303"
0, 10, "0.333724,-0.433326", "0.400076,-0.533314", "0.390574,-0.570523"
0, 10, "0.392783,-0.204132", "0.290885,-0.140754", "0.392972,-0.183760"
0, 10, "0.572656,-0.263442", "0.536665,-0.377918", "0.597893,-0.263399"
0, 10, "0.544391,-0.790031", "0.629179,-0.874949", "0.629480,-0.877591"
0, 10, "0.268809,-0.879981", "0.207314,-0.776935", "0.130396,-0.720722"
0, 10, "0.216166,-0.502184", "0.336145,-0.504445", "0.185798,-0.507455"
0, 10, "0.085995,-0.749634", "0.170227,-0.664165", "0.114071,-0.720404"
0, 10, "0.903220,-0.134087", "0.795096,-0.186138", "0.736716,-0.205520"
0, 10, "0.028976,-0.742889", "0.118442,-0.662915", "0.106371,-0.715132"
0, 10, "0.626776,-0.402605", "0.640001,-0.283336", "0.576332,-0.474047"
0, 10, "0.664528,-0.573435", "0.784496,-0.570644", "0.701257,-0.509235"
0, 10, "0.865660,-0.540588", "0.925347,-0.436485", "0.909098,-0.387388"
0, 10, "0.828495,-0.657654", "0.897730,-0.559641", "0.813457,-0.602275"
0, 10, "0.935706,-0.582002", "0.955326,-0.463616", "0.907462,-0.640834"
0, 10, "0.331806,-0.746094", "0.427141,-0.673216", "0.457320,-0.585327"
0, 10, "0.789931,-0.877515", "0.823294,-0.762246", "0.780372,-0.835431"
0, 10, "0.511562,-0.766951", "0.537340,-0.884150", "0.599853,-0.940301"
0, 10, "0.528161,-0.403193", "0.516568,-0.522632", "0.586348,-0.490660"
0, 10, "0.596590,-0.547022", "0.496831,-0.613716", "0.671727,-0.512378"
0, 10, "0.078248,-0.191710", "0.139090,-0.295143", "-0.108614,-0.170561"
0, 10, "0.579675,-0.472238", "0.461938,-0.495436", "0.599150,-0.505574"
0, 10, "0.035926,-0.201557", "0.142346,-0.257008", "-0.091405,-0.131290"
0, 10, "0.631294,-0.374262", "0.695402,-0.272821", "0.723679,-0.314858"
0, 10, "0.560200,-0.782932", "0.480709,-0.693036", "0.537503,-0.712107"
0, 10, "0.790876,-0.460560", "0.876115,-0.376095", "0.793096,-0.359787"
0, 10, "0.559639,-0.238940", "0.490757,-0.140678", "0.612874,-0.265051"
0, 10, "0.653053,-0.388647", "0.676797,-0.271019", "0.689714,-0.403536"
0, 10, "0.622590,-0.408904", "0.551223,-0.505375", "0.598567,-0.487980"
0, 10, "0.697724,-0.188439", "0.647302,-0.079546", "0.722548,-0.227896"
0, 10, "0.544349,-0.694282", "0.624264,-0.783801", "0.527746,-0.687510"
0, 10, "0.295626,-0.120616", "0.284911,-0.240137", "0.340518,-0.124548"
0, 10, "0.297318,-0.964341", "0.224015,-0.869333", "0.267885,-0.946987"
0, 10, "0.172289,-0.417931", "0.248762,-0.325454", "0.169761,-0.453979"
0, 10, "0.777028,-0.563690", "0.787628,-0.683221", "0.774278,-0.515858"
0, 10, "0.723415,-0.792899", "0.842908,-0.781873", "0.707616,-0.717702"
0, 10, "0.534149,-0.120417", "0.430442,-0.060044", "0.613206,-0.088129"
0, 10, "0.381845,-0.134705", "0.277802,-0.194498", "0.401876,-0.057314"
0, 10, "0.716048,-0.192418", "0.774388,-0.087554", "0.722652,-0.309053"
0, 10, "0.614850,-0.901980", "0.534206,-0.813118", "0.606786,-0.953012"
0, 10, "0.381845,-0.134705", "0.277802,-0.194498", "0.401876,-0.057314"
0, 10, "0.268621,-0.632550", "0.385377,-0.604834", "0.268740,-0.616687"
0, 10, "0.405254,-0.674787", "0.337732,-0.773988", "0.343019,-0.594145"
0, 10, "0.675206,-0.662378", "0.793675,-0.681484", "0.713559,-0.568269"
0, 10, "0.346529,-0.189159", "0.227078,-0.200624", "0.334724,-0.126358"
